name,category,price,description,diet,available,featured,image
Margherita,Pizza,249,"Tomato, mozzarella, basil",veg,yes,no,
Paneer Tikka Pizza,Pizza,299,"Tandoori paneer, onion, capsicum",veg,yes,yes,
BBQ Chicken Pizza,Pizza,349,"BBQ chicken, onion, mozzarella",nonveg,yes,no,
Classic Veg Club,Sandwiches,179,"Veg club with mint mayo",veg,yes,no,
Grilled Chicken Sandwich,Sandwiches,229,"Grilled chicken, cheese, lettuce",nonveg,yes,no,
Veg Patty Burger,Burgers,169,"Crispy veg patty, house sauce",veg,yes,no,
Fried Chicken Burger,Burgers,249,"Crispy chicken, mayo, lettuce",nonveg,yes,yes,
Veg Quesadilla,Mexican,199,"Cheese, peppers, salsa",veg,yes,no,
Loaded Nachos,Mexican,249,"Cheese sauce, salsa, jalapenos",veg,yes,no,
Veg Manchurian,Chinese,189,"Crispy veg balls in gravy",veg,yes,no,
Chilli Chicken,Chinese,249,"Indo-Chinese chilli gravy",nonveg,yes,yes,
Chocolate Brownie,Desserts,149,"Warm chocolate brownie",veg,yes,no,
Masala Chai,Beverages,49,"Ginger, cardamom",veg,yes,no,
Classic Cold Coffee,Beverages,129,"Iced, cream on top",veg,yes,yes,
KitKat Thickshake,Beverages,179,"Chocolate shake with KitKat",veg,yes,no,
